customer_id,customer_name,country_id,cust_type_id
1,Karina Kelly,659,1
2,Vanessa Walker,882,4
3,Timothy Garcia,203,2
4,Eric Nixon,84,3
5,Evelyn Larson,158,4
6,Nicole Williams,562,2
7,Virginia Cox,534,2
8,Natalie Perez,231,3
9,Samuel Torres,660,2
10,Dr. Stephen Roy Jr.,500,2
11,Ashley Nelson,52,2
12,Alex Hoffman,31,4
13,Samuel Marshall,418,2
14,Aaron Williams,24,4
15,Alexandra Lyons,270,1
16,Robert Brown,860,2
17,Juan Cardenas,84,4
18,Kristi Richardson,740,4
19,Melissa Dalton,250,2
20,Michael Smith,804,1
21,Nicole Jackson,492,3
22,Jennifer Turner,470,1
23,Katie Morton,20,3
24,Willie Davidson,276,2
25,Cheyenne Lewis,60,3
26,Melinda Owen,626,4
27,Lucas Woodard,466,1
28,Randy Cruz,729,4
29,Douglas Williams,620,3
30,Allison Knight,360,4
31,Amy Cummings,328,3
32,Ann Wang,192,2
33,Julie Moore,570,3
34,Erica Williams,234,4
35,Angela Ashley,604,2
36,Melanie Carrillo,662,2
37,Christina Johnson,184,3
38,Mark Perez,248,4
39,Michelle Levy,580,3
40,Heather Pennington,652,3
41,Deborah Obrien,624,1
42,Wanda Mejia,442,2
43,Mallory Bryant,570,1
44,Sylvia Ortega,688,2
45,Nicole May,434,4
46,Sarah Jimenez,324,2
47,Amanda Carpenter,768,3
48,Diana Conrad,512,4
49,Brian Hatfield,558,1
50,Amber Mcdonald,580,4
51,Daniel Hebert,262,4
52,George Hall,112,1
53,Johnny Peterson,534,2
54,Eric Mcmillan,208,4
55,Courtney Lamb,328,3
56,David Johnson,498,2
57,Shannon Vargas,756,4
58,Daniel Fletcher,446,4
59,James May,340,3
60,Amanda James,340,3
61,Dylan Howell,144,3
62,Donald Barnes,818,1
63,Kristina Sampson,600,4
64,Benjamin Williams,328,2
65,Haley Ramirez,496,1
66,Danielle Lee,254,2
67,Matthew Martinez,192,4
68,Christina Trujillo,688,1
69,Jennifer Jarvis,296,3
70,Jason Davis,512,3
71,Ashley Kemp,654,2
72,Gregory King,188,3
73,Robert Peterson,772,3
74,Alexis Lee,662,1
75,Lisa Ramos,862,2
76,Jonathan Calhoun,292,1
77,James Kennedy,188,3
78,Michael Olson,262,2
79,Jeffrey Castillo,246,3
80,Robin Cooper,626,1
81,Daniel Lopez,174,3
82,Laurie Rivera,312,1
83,Patrick Simpson,788,2
84,Kaitlin Vincent,90,4
85,Heidi Hayes,442,2
86,Michael Taylor,566,2
87,Bryan Turner,288,3
88,Nathan Nelson,360,1
89,Joseph Perez,674,4
90,Joseph Chambers,376,4
91,Mark Jacobs,24,1
92,Kayla Collins,334,1
93,Jade Koch,258,3
94,Keith Patel,531,1
95,Joseph Delacruz,694,3
96,Noah Williams,408,4
97,Derrick Odom,242,3
98,Daniel Adams,434,4
99,Ashley Moore,352,2
100,Brittney Johnson,48,2
101,Douglas Kelley,292,4
102,Daniel Flores II,275,1
103,Evan Thomas,807,3
104,Douglas Cunningham,50,4
105,Rachel Clay,174,3
106,Pamela Scott,796,3
107,Monica Rosario,512,1
108,Jeremy Montes,792,3
109,Jennifer Higgins,484,3
110,Jim Powers,682,3
111,Jennifer Moreno,248,1
112,Jason Higgins,524,2
113,Rhonda Stanley,196,4
114,Nancy Campos,442,2
115,Kim Miller,136,2
116,Christine Good,239,2
117,Erica Snyder,4,1
118,Erin Reid,74,1
119,Carl Day,608,1
120,Erin James,450,1
121,Benjamin Cobb,807,2
122,Gerald Simon,52,1
123,Bryan Eaton,74,2
124,James Jones,417,3
125,Christopher Robertson,324,4
126,David Smith,10,2
127,Joshua Baldwin,52,4
128,Daniel Adkins,652,2
129,Charles Stevenson,246,4
130,John White,620,1
131,Natalie Nichols,666,1
132,Jesse Gonzales,246,3
133,Gregory Griffin,784,3
134,James Porter,499,2
135,Ashley Wilson,682,1
136,Connie Potts,51,3
137,Alison Gregory,108,4
138,Jacob Green,418,2
139,Rachel Moore,352,3
140,Vanessa Newton,64,4
141,Mark Murphy,826,2
142,Jenna Contreras,500,1
143,Kimberly Campbell,578,2
144,Jeffrey Braun,686,2
145,Kimberly Weber,162,2
146,Yvette Curry,239,3
147,Jacqueline Hudson,196,3
148,John Ward,192,4
149,Donald Floyd,702,3
150,Sandra Nichols,24,3
151,Erik Maddox,862,2
152,Luis Bridges,591,3
153,Maria Williams,4,4
154,Cole Young,152,4
155,Ian Williams,120,1
156,Lisa Johnson,24,4
157,Janice Ward,508,3
158,Lacey Martinez,762,1
159,Brian King,108,3
160,Lisa Chapman,654,4
161,Jennifer Kirby,316,3
162,James Patel,854,1
163,Richard Dunlap,104,4
164,William Williams,624,1
165,George Ruiz,184,4
166,Joshua Newman,233,3
167,Brian Quinn,612,2
168,Heather Morgan,580,1
169,Amanda Winters,104,4
170,Jane Wright,52,3
171,Patrick Henry,480,1
172,Chris Haley,234,1
173,Amy Miller,392,1
174,David Lambert,132,3
175,Morgan Lee,430,3
176,Patricia Kelley,663,4
177,Michael Stevens,608,3
178,Lori Richardson,328,1
179,Maria Baker,380,1
180,Pamela Jackson,498,3
181,Donald Davis,584,1
182,Lisa Walker,212,4
183,Charles Anderson,434,2
184,Kelsey Vance,804,3
185,Matthew Novak,500,4
186,Kathleen Villanueva,52,3
187,Jesse Miller,528,4
188,Mariah Robbins MD,275,2
189,Alicia Randall,744,1
190,Tiffany Hill,348,1
191,Christina Flores,188,1
192,Christopher Alexander,716,3
193,Nancy Taylor,862,3
194,James Mayo,752,4
195,Daniel Higgins,20,1
196,Anna Garrison,528,1
197,Andrew Fry,756,2
198,Ann Cole,764,2
199,Mr. Dustin Winters,316,3
200,Heather Williams,894,4
201,Candace Cervantes,188,2
202,Ashley Gonzalez,586,3
203,Billy Arnold,534,1
204,Austin Rodgers,616,1
205,Traci Chapman,756,4
206,Holly Bryant,214,4
207,Cynthia Berg,586,4
208,Christopher Morris,474,4
209,Ann Lee,620,2
210,Alexandria Eaton,528,2
211,Michael Bowman,332,4
212,Cheryl Sanchez,152,2
213,Jessica Morales,384,4
214,Jason Stewart,192,4
215,Heidi Short,756,1
216,Todd Martinez,704,2
217,Rachel Alvarado,702,4
218,Amanda Leon,175,1
219,Toni Gutierrez,796,4
220,Grace Jones,292,1
221,John Mills,51,4
222,Ronald Hawkins,788,1
223,Michael Martin,16,1
224,Steven Harrison,44,2
225,Holly Miller,162,4
226,Hannah Farmer,180,3
227,Olivia Garcia,184,2
228,Deborah Peterson,204,4
229,Mrs. Connie Ortega,36,1
230,Lance Anderson,116,1
231,Pamela Vega,760,3
232,Melissa Harper,352,2
233,Julie Reeves,533,1
234,Robin Zuniga,795,4
235,Sandra Collier,620,2
